Titel;Maßnahmen;Begründung
Tempo 30 auf mehreren Straßen;Wir beantragen hiermit akut, die zulässige Höchstgeschwindigkeit in Stuttgart-Untertürkheim auf folgenden Straßen ganztägig auf Tempo 30 zu reduzieren: Kappelbergstraße, Fellbacher Straße, Großglocknerstraße, Strümpfelbacher Straße.;"Insbesondere aus Gründen des Lärmschutzes, sowie der Verkehrssicherheit ist eine Anordnung von Tempo 30 auf diesen Straßen unerlässlich. An den Straßen liegen direkt fünf Kinderspielplätze. Sie sind hochfrequentierte Schulwege (Wilhelmschule und Luginslandschule). Die Gehwege sind teilweise unter einem Meter breit, dass Kinder mit Schulranzen, Senioren und Familien mit Kinderwägen massiv gefährdet sind. Der Lärmschutz entlang dieser Straßen macht Tempo 30 unerlässlich. Die Anwohnenden leiden unter Lärmbelästigung der zweithöchsten Stufe bis 74 Dezibel, welche die ca. 8.000 Fahrzeuge täglich verursachen. Ebenso fördert die daraus resultierende Luftverschmutzung Atemwegserkrankungen. Als Anwohnende erleben wir, wie oft diese Straßen als Schleichwege und zum Rasen benutzt werden. Das erfordert eine Geschwindigkeitsüberwachung. Mit dem Bau des Kappelbergtunnels beschloss der Gemeinderat 1991 “Cannstatt und Untertürkheim weitestgehend vom Durchfahrtsverkehr .. entlasten...Die bisherigen Durchfahrtsstraßen … sollen nur noch Ziel- und Quellverkehr aufnehmen"". Wir wollen einen Stadtteil, der Gesundheit, Klima, Nachbarschaft und Tourismus fördert und bewahrt."
Haftung gegen Rechtsradikalismus (AfD) und für ein demokratisches Miteinander in Langenau.;Der Gemeinderat der Stadt Langenau möge eine Resolution verabschieden bzw. die aktuelle Leitlinie ergänzen, bei politischen Vertretern und Vertreterinnen und Vorträgen sich zukünftig nicht mehr an der Geschichtsrelativierung beteiligen sondern sich klar gegen eine mögliche Rehabilitierung der AfD im Gemeinderat positionieren. Die Stadtverwaltung soll sich öffentlich zu einem demokratischen Miteinander bekennen und die Prüfung eines AfD Verbotes befürworten.;Bei der letzten Bundestagswahl erhielt die AfD bei 20 % der Stimmen in Langenau. Diese Zahl kann eine Ursache von Verunsicherung und Enttäuschung sein – sie darf jedoch nicht zur Normalisierung von antidemokratischen Positionen führen. In Nachbarstädten wie Blaustein formieren sich bereits Ortsverbände der AfD. Auch in Langenau könnten ähnliche Entwicklungen folgen. Es ist jetzt die Aufgabe der demokratischen Parteien, Vertretungen und der Verwaltung, Haltung zu zeigen – für Demokratie, Respekt und Miteinander. Die Volksverhetzer Langenau mit AfD-nahen Rednern (gegründet im März 2024), ist mit einer Partei in und seinem Medien an die Langenauer Bürger*innen, Verantwortung trägt, ihrer politischen Haltung zu übernehmen, nicht nur zu Aussagen oder Äußerungen. Demokratie lebt vom Dialog, aber auch von klaren Grenzen gegenüber jenen, die unsere freiheitliche Grundordnung ablehnen und von Verfassungsgerichten inzwischen als gesichert rechtsextrem eingestuft sind.
Naturschutzgebiet Flugplatz Bamberg-Breitenau;Die Stadt Bamberg möge bei der Regierung von Oberfranken die Ausweisung des Flugplatzes Bamberg-Breitenau als Naturschutzgebiet in den Grenzen der umseitig abgedruckten Karte beantragen und möge sich auch politisch für die Ausweisung einsetzen.;Die Freifläche des Flugplatzes Bamberg-Breitenau ist einer der letzten großen Sandlebensräume in ganz Bayern. Die Fläche ist durch eine Vielzahl miteinander verzahnter Biotoptypen und sowohl trockene als auch feucht-nasse Standorte sehr vielfältig. Es kommen enorm viele Tier- und Pflanzenarten vor, darunter auch sehr viele seltene und gefährdete Arten. Aus naturschutzfachlicher Sicht hat der Flugplatz bayernweite Bedeutung. Er ist ein Hotspot der Artenvielfalt. Die enorme Artenvielfalt der Sandlebensräume gehört zum Naturerbe Bambergs. Wir haben die Verantwortung diese Artenvielfalt zu erhalten. Bereits seit über zwei Jahrzehnten fordert der Bund Naturschutz die Ausweisung des Flugplatzes als Naturschutzgebiet, bisher leider vergebens. In der Vergangenheit wurden die Biotopflächen des Flugplatzes immer kleiner und die Beeinträchtigungen nahmen zu. Wiederholte Verlängerung und Verbreiterung der Landebahn sowie neue Gebäude führten zu Lebensraum-Zerstörungen. Der geplante Instrumentenflug und drohende bauliche Eingriffe im Zusammenhang mit der Erweiterung einer großen Firma würden zu weiteren Beeinträchtigungen und Zerstörungen führen. Wir wollen den Flugplatz in seiner Gesamtheit sichern und vor weiteren Eingriffen und Flächenverlusten bewahren. Wir wollen keine Flächenverschwendung durch großflächige, ebenerdige Parkplätze auf Kosten von wertvollsten Sandmagerrasen. Die Schutzwürdigkeit und auch die Schutzbedürftigkeit der großen Sandlebensräume des Bamberger Flugplatzes stehen außer Frage. Es wird höchste Zeit diese Flächen als Naturschutzgebiet zu sichern!
"Verkehrsberuhigung Kreuzung 
Margarentendamm/Magazinstraße/Europabrücke";"Konkret fordern wir: - Bauliche Maßnahmen zur Entschärfung der Gefahrensituationen 
(insbesondere hohe Abbiegegeschwindigkeit Magazinstr nach rechts 
auf Margaretendamm) - Tempo 30 im Umfeld der Kreuzung - fest installierte Geschwindigkeitsmessung - Warnleuchte „Achtung Fußgänger“ für rechtsabbiegende Autofahrer - Ausbau und Absicherung der Wartebereiche an der Fußgängerampel 
z.B. durch Poller und breitere Fußwege - Fußgängerübergänge wie beispielsweise Verkehrsinseln auch beim 
Verlassen des Seilerei-Geländes in der Lichtenhaidestraße";"Für die Sicherheit unserer Kinder und für den zunehmenden Anteil an 
Fußgänger und Fahrradfahrer fordern wir eine Entschleunigung im 
Kreuzungsbereich Margaretendamm/Magazinstraße/Europabrücke "
"„Besser vorankommen in Deggendo        
rf mit ÖPNV und Rad";"Die Stadt beauftragt die Erstellung von Machbarkeitsstu
dien, mit denen der verstärkte Einsatz von öffentlichen 
Verkehrsmitteln ?ÖPNV? und Radverkehr zur Verbesserung 
der Verkehrssituation in Deggendorf untersucht wird.
Zu ermitteln sind hierbei insbesondere die Möglichkei
ten, Verkehr vom Auto hin zu Rad, Bus, Bahn und ggf.  
weiteren öffentlichen Verkehrsmitteln ?z. B. Rufbus, An
ruf?Sammeltaxi? zu verlagern, um so die Klimabilanz der 
Stadt zu verbessern und Belastungen durch Staus sowie 
fließenden und stehenden KFZ?Verkehr zu verringern.
Zusätzlich sollen die Möglichkeiten untersucht werden, 
die Innenstadt und besonders belastete Stadtteile ?z. B. 
Fischerdorf? durch geänderte Verkehrsführungen für den 
LKW? und Lieferverkehr zu entlasten.
An der Erarbeitung der Studien sollen die Öffentlichkeit 
und Interessenvertreter frühzeitig und intensiv beteiligt 
werden.
Bis zur Fertigstellung, Vorstellung und Beratung der 
oben genannten Studien im Stadtrat soll die Vergabe von 
Planungsaufträgen für neue Straßen? und Brückenbau
maßnahmen ?insbesondere für die Planung einer weite
ren Straßenbrücke über die Donau? nicht mehr weiter 
vorbereitet oder vollzogen werden.";"Anlass für den vorliegenden Bürgerantrag ist der Beschluss 
des Stadtrates vom 20.11.2023, eine europaweite Ausschrei
bung von Planungsleistungen für eine weitere Donaubrücke 
vorbereiten zu lassen. Vor diesem Beschluss wurden jedoch 
umweltfreundlichere Alternativen nicht ausreichend geprüft, 
wie z. B. die Stärkung des Öffentlichen Personen?Nahver
kehrs ?ÖPNV? oder des Radverkehrs.
Der Bürgerantrag hat zum Inhalt, die möglichen Verbesse
rungen zu ermitteln, die durch den Einsatz der genannten alternativen Verkehrsträger erreicht werden können. Für 
die Verstärkung von ÖPNV und Rad als Verkehrsmittel 
sprechen viele Gründe:
• Anders als der Bau der mindestens 75 Millionen Euro 
teuren, neuen Donau?Brücke bringt der verstärkte Ein
satz von Bus, Bahn und Rad nicht nur punktuelle Entlas
tungen, sondern Verbesserungen im gesamten Stadt? 
gebiet. Erreicht werden kann damit z. B. auch die ver
besserte Anbindung von Schulen, Arbeitsplätzen, Sport
stätten, dem Elypso und weiteren öffentlichen 
Einrichtungen für alle.
• Anders als der weitere Ausbau von Straßen für das Auto 
kommt der verstärkte Einsatz von ÖPNV und Rad allen 
Bevölkerungsgruppen zugute. Das gilt insbesondere 
für alle, die nicht oder nur eingeschränkt Auto fahren 
können, wie z. B. Kinder, Jugendliche, Senioren und Be
hinderte. Aufgrund der Alterung der Gesellschaft ist für 
die Zukunft ein steigender Bedarf für Mobilität ohne Au
to zu erwarten.
• Deggendorf hat sich verpflichtet, bis 2035 klimaneutral 
zu werden. Innerhalb der nächsten 11 Jahre müssen da
her die CO2?Emissionen auf nahezu Null reduziert wer
den. Dies setzt voraus, dass in Zukunft auch der Verkehr 
umweltfreundlicher, d. h. verstärkt mit ÖPNV und Rad 
abgewickelt wird. Das vom Stadtrat beschlossene Rah
menklimaschutzkonzept sieht ebenfalls die Stärkung 
dieser Verkehrsträger vor.
Klimaschutz soll jedoch nicht Versprechung auf geduldi
gem Papier bleiben, sondern muss umgesetzt werden!
• Ein verstärkter Einsatz von ÖPNV und Rad kann die ge
samte Stadt, und damit auch den Ortsteil Fischerdorf 
entlasten. Zusätzlich ist zu prüfen, ob LKW?Verkehr an
ders geführt, das heißt z. B. aus Fischerdorf zu den Au
tobahnanschlüssen Plattling Nord und ?West abgeleitet 
werden kann. Auch dies soll dazu beitragen, den Bau ei
ner teuren neuen Donaubrücke einzusparen. Ein Ver
zicht auf diese Baumaßnahme vermeidet zudem meh
rere Tausend Tonnen an CO2
, die allein beim Bau der 
Brücke und der Straßenanschlüsse freigesetzt würden.
• Die Stärkung von ÖPNV und Radverkehr bedeutet eine 
erhebliche Zunahme der Lebens? und Aufenthalts
qualität in unserer Stadt. Weniger Schadstoffe, Fein
staub und Lärm fördern die Gesundheit. Daneben wer
den wertvolle Freiräume in der Stadt frei, da weniger 
KFZ?Stellplätze benötigt werden und wertvoller, knapper 
Raum in der Stadt höherwertig genutzt werden kann.
Umgekehrt belegen zahlreiche Studien: Mit dem Stra
ßenbau steigt die Zahl der gefahrenen Kilometer pro
portional mit, damit nehmen Überlastungen und Staus 
an neuralgischen Bereichen zu.
• Mit der Donau?Gartenschau hat die Stadt, unter Einsatz 
vieler Millionen Euro an Steuergeldern, ein attraktives, 
hervorragend angenommenes und an die Innenstadt 
eng angebundenes Naherholungsgebiet gewonnen.
Eine zusätzliche Donaubrücke würde dagegen das 
Herzstück des Gartenschau?Geländes, das Ensemble 
aus Donau?Spielplatz, Strand?Bar, Deichgärten und 
Donau?Promenade überqueren, zerschneiden und de
ren Qualität zerstören.
• Der Ausbau von ÖPNV und Radverkehr ist erheblich 
wirtschaftlicher als Investitionen in den Straßenbau. 
Denn für diese ? bisher vernachlässigten ? Verkehrsträ
ger lassen sich schon mit geringem Mitteleinsatz große 
positive Wirkungen erzielen. Dagegen müssten für ge
ringfügige Verbesserungen in einem bereits hervorra
gend ausgebauten Straßennetz Millionen an Steuer? 
mitteln aufgewendet werden. Der Einsatz von öffentli
chen Geldern für den ÖPNV und die Radinfrastruktur 
nutzt zudem allen Menschen in der Stadt, und nicht nur 
Autofahrern ?s. o.?.
• Auch das bayerische Verkehrsministerium möchte bis 
2030 den Anteil des ÖPNV und des Radverkehrs je
weils verdoppeln. Unter anderem damit will die Staats
regierung ihr Ziel erreichen, Bayern bis 2040 klima? 
neutral zu machen. Fördermittel von Bund und Frei
staat für ÖPNV und Rad sollen auch in Deggendorf 
konsequent genutzt werden, um die Verkehrssituation 
und die Lebensqualität in der Stadt zu verbessern"
Bewahrung der Anna?Eder?Promenade und des Donau?Gartenschaugeländes;"Die Stadt soll alle nötigen Schritte unternehmen, 
um das Gelände und die Einrichtungen der Donau
garten?schau von 2014 vollständig zu erhalten.
Dazu gehört der Erhalt der Anna?Eder?Promenade, 
des Strandcafes mit umgebendem Freigelände,
des Donauspielplatzes und der sonstigen Freiflä
chen insbesondere auf der linken Donauseite.
Eine Überbauung des Geländes mit einer weiteren 
Straßenbrücke hat zu unterbleiben. Stattdessen soll 
verstärkt in den öffentlichen Personen?Nahverkehr 
und in die Infrastruktur für Fahrrad bzw. E?Bike
investiert und die Errichtung eines Halbanschlusses 
an die A92 für den Fernverkehr weiter verfolgt
werden";"Die Durchführung der Donau?Gartenschau im Jahr 2014 
war mit dem dadurch verbesserten Zugang zur Donau und 
der Neugestaltung der Flächen am Flussufer ein enormer 
Gewinn für die Stadt Deggendorf. Dies wurde Anfang 2026 
auch anlässlich der Umbenennung der Donau?Promenade 
in „Anna?Eder?Promenade“ betont und gewürdigt.
Das Erbe aus der Gartenschau ist jedoch durch die Pläne 
gefährdet, parallel zur Autobahn?Brücke eine weitere Stra
ßenbrücke zwischen Fischerdorf und Deggendorf zu bau
en. Diese Brücke würde zentrale Teile des Gartenschau? 
Geländes überspannen, insbesondere die Promenade mit 
den benachbarten Freiflächen, den Donau?Spielplatz so
wie Freiflächen an der Strandbar. Die Brücke würde den 
Trennungseffekt der bestehenden Autobahnbrücke mas
siv verstärken und zusätzliche Lärmbelastungen verursachen. Die heutige Qualität der Wege, Freiflächen und 
Einrichtungen würde dadurch zerstört.
Für die Bewältigung des Verkehrs bestehen gegenüber 
der Planung einer weiteren Straßenbrücke gute Alter
nativen. Im öffentlichen Nahverkehr können die Busver? 
bindungen zwischen der Stadt und dem Stadtteil Fischer
dorf so verbessert werden, dass vor allem zu den Stoß
zeiten eine deutliche Entlastung des Berufsverkehrs er
reicht wird. Die Stadt soll hierzu auch die Errichtung 
einer zusätzlichen Haltestelle der Waldbahn im Stadtteil 
Fischerdorf vorantreiben. Um die zusätzlich nötige Hal
tezeit zu gewinnen, soll sich die Stadt für eine vollstän
dige Elektrifizierung der Waldbahn einsetzen.
Als Alternative zum KFZ?Verkehr soll außerdem die An
bindung der Fuß? und Radwegebrücke über die Donau  
auf beiden Seiten verbessert werden. Dafür sollen die 
Radwege in das Stadtgebiet und zu den Gewerbeflä
chen auf der Fischerdorfer Donauseite ?s. Kartenskizze? 
in den nächsten vier Jahren so ausgebaut werden, dass 
diese durchgängig leicht und sicher befahren werden 
können. Die Pläne hierfür sind laut Stadtverwaltung 
vorhanden und können daher schnell umgesetzt werden.
Zur Verbesserung der Verkehrssituation für den Fern
verkehr von und nach Fischerdorf soll die Errichtung ei
Fortsetzung der Begründung von Seite 1:
Eine Initiative von / V.i.S.d.P.:
Aktionsbündnis Klimaentscheid Deggendorf
c/o BUND Naturschutz in Bayern e. V.
Kreisgruppe Deggendorf
Amanstraße 21
94469 Deggendorf
www.klimaentscheid?deg.de
info@klimaentscheid?deg.de
nes Halbanschlusses mit Rampen zur A92 von der 
Stadtverwaltung weiter verfolgt werden"
Erlass einer Satzung über die Erhebung einer Steuer auf Einwegverpackungen;"Die Unterzeichnenden beantragen, dass die Stadt Forchheim eine Satzung zur Erhebung einer Steuer auf Einwegverpackungen erlässt. Einen Vorschlag für die mögliche
Ausgestaltung der Satzung entnehmen sie dem Entwurf, der als Anlage 2 mit dem Antrag eingereicht wird. Der Entwurf entspricht im Kern der Satzung der Universitätsstadt
Tübingen. [1] Wir bitten den Stadtrat, diesem Antrag zuzustimmen und die Verwaltung mit der Ausarbeitung einer entsprechenden Satzung zu beauftragen.";"Einwegverpackungen tragen erheblich zur Umweltverschmutzung im öffentlichen Raum der Stadt Forchheim bei. Die Kosten für Stadtreinigung und Entsorgung werden von
der Allgemeinheit getragen. Die Verbrauchssteuer setzt auf das Verursacherprinzip und führt somit zu einer gerechteren Umlage der Kosten.
Vorbild – Die Stadt Tübingen erhebt seit 2022 eine Verpackungssteuer und hat damit sehr positive Erfahrungen gemacht:
• Anreiz für umweltfreundliche und nachhaltige Mehrweg-Alternativen – Tübingen ist seit der Einführung der Steuer „Nummer Eins bei Mehrwegangebot.“
• Einnahmen für die Stadt – Nach Abzug der Ausgaben für die Erhebung der Steuer betrugen die Einnahmen in Tübingen im Jahr 2022 ca. 0,9 Millionen Euro.
• Weniger Müll im öffentlichen Raum – Der Einwegmüll im öffentlichen Raum ist, nach Angaben der Stadtreinigung in Tübingen, wahrnehmbar zurückgegangen.
Rechtssicherheit – Das Bundesverfassungsgericht hat am 30. Januar 2025 bestätigt, dass die Verpackungssteuer als „örtliche“ Verbrauchssteuer rechtmäßig ist."
"Klinik Schwabach für Bürgerinnen und 
Bürger erhalten";"Wir fordern, dass die Klinik Schwabach in
kommunaleTrägerschaftüberführtwird,umihre
langfristige Existenz zu sichern. Private Träger
verfolgen in erster Linie wirtschaftliche
Interessen, was die Gesundheitsversorgung
gefährdet.
Die Schließung unseres Klinikums hätte
weitreichende und gravierende Folgen für die
medizinischeVersorgunginderRegion.Obwohl
dienächstgelegeneNotfallversorgungnur etwa
20Minutenentferntist,reichendiese20Minuten
imErnstfall aus, umüber Leben und Tod zu
entscheiden.
Außerdem kämpfen die nächstgelegenen
KlinikenbereitsjetztmitlangenWartezeiten.Eine
steigendePatientenzahldurchSchließungen kleinererKlinikenwürdedieseWartezeitenweiter
in die Länge treiben–zum Nachteil aller
PatientinnenundPatienten.
Auch für eine langfristige Absicherung der
Daseinsvorsorge hat das Klinikum als
Ausbildungsstätte für medizinische Fachkräfte
einezentraleBedeutung.Angesichtsdesbereits
bestehenden Fachkräftemangels wäre der
VerlusteinesAusbildungsstandortseinschwerer
Rückschritt.
Statt das Klinikum zu schließen, sollten
Möglichkeiten zur strukturellen
WeiterentwicklungundeineAnpassunganden
demografischenWandelgenutztwerden.
UnserKlinikummusserhaltenbleiben–nichtnur
als Gebäude, sondern als lebenswichtiger
Bestandteil einer regionalen
Gesundheitsversorgung.";
"ANTRAG DER ANLIEGER AN DER BÖHMERWALDSTRASSE, KITZINGEN
VERLEGUNG EINER KANALTRASSE";"Der Stadtrat der Stadt Kitzingen möge zeitnah die Verlegung eines Kanals mit Einlaufschächten zur Ableitung des Oberflächenwassers aus den Gewannen zwischen den Grundstücken der Anlieger an der Böhmerwaldstraße Hausnummer 40 bis einschließlich Hausnummer 72 und den Weinbergen „Storchenbrünnlein“ beschließen.  

Die Verlegung des Kanals einschließlich Einlaufschächte erfolgt sach- und fachgerecht im öffentlichen Flurweg Flurnummer 536 der Gemarkung Kitzingen.

Die Kosten der Kanalverlegung einschließlich Einlaufschächte trägt die Stadt Kitzingen.";"I.) Lage
Die Anlieger der Böhmerwaldstraße Hausnummern 40-72 grenzen an den öffentlichen Flurweg Flurnummer 536 der Gemarkung Kitzingen an.
Die Höhenlage der landwirtschaftlichen Grundstücke verläuft von den Weinbergen am „Storchenbrünnlein“ (Schutzhecke) im Süden nach Norden und weist ein erhebliches Gefälle zum Feldweg Flurnummer 536 und den angrenzenden Anwesen der Anlieger Hausnummer 40-72 aus.

II.) Starkregenereignisse im Jahr 2024
Infolge des Klimawandels kommt es in den letzten Jahren gehäuft zu Starkregenereignissen. Am 2. Mai und 1./2. Juni 2024 gingen Starkregen nieder. Das Oberflächenwasser drang in nie gekanntem Ausmaß in die Anwesen ein. Manche Anlieger an der Böhmerwaldstraße 40-72 sind so erheblich getroffen worden, dass die Erdgeschoßwohnungen und Kellerräume nicht mehr bewohnbar waren. Teilweise stand das Wasser ca. 50 cm hoch in den Räumen. Durch die Abschwemmung von Erdreich wurde zudem Schmutz in die Räumlichkeiten eingetragen.

III.) Vergleichbare Sachlage
Am Baugebiet Hammerstiel sind vor einiger Zeit ebenfalls erhebliche Wasserschäden an Gebäuden und Grundstücken entstanden.
Die Stadt Kitzingen hat zur Abwendung weiterer Schäden eine Kanalleitung mit Einlaufschächten im Hammerstielweg verlegt."
"Unterstützung bei der Einführung
eines 365 €-Tickets für Studierende";Wir beantragen, dass die Stadt die Einführung eines 182,50€-Semestertickets für alle Studierenden im VGN vergleichbar mit dem 365€-Jahresticket für Schüler*innen und Auszubildende unterstützt. Wenn der Freistaat 2/3 der Mindereinnahmen des VGNs übernimmt, beteiligt sich die Stadt an dem letzten 1/3 gemäß einem noch festzulegenden Verteilungsschlüssel zwischen den Kommunen im VGN. Die Stadt setzt sich innerhalb der Gremien des VGN für eine solche Einführung und Umsetzung ein und führt Gespräche mit den beteiligten Kommunen. Eine Einführung des 182,50€-Semestertickets zum Wintersemester 2022/23 wird angestrebt.;Es ist nicht erklärbar, warum Schüler*innen und Auszubildende ein günstigeres Ticketmodell erhalten als Studierende, welche auch nur über knappe finanzielle Ressourcen verfügen – heute sind es pro Jahr 200€ Differenz. Die Einführung des 182,50€-Semestertickets baut Hürden der Bildungsungerechtigkeit ab. Zudem haben die Studierenden der Hochschulen Erlangen-Nürnberg in den vergangenen vier Semestern ca. 15,9 Mio€ an Beiträgen über das Basisticket geleistet, ohne den eigentlichen Nutzen zu haben – auch weil partiell in den Abendstunden eine Ausgangssperre galt. Auch die 365€-Studie des VGN sagt, dass eine Einführung günstigerer Ticketmodell für preissensible Gruppen („working poor“) sinnvoll ist. Da in dieser Gruppe die verkehrliche Lenkungswirkung hoch ist, sind günstigere Tickets auch ein Beitrag zur dringend notwendigen Klimaneutralität. Das 182,50€ Semesterticket entlastet zudem auch die Mieten in den Ballungsräumen und stärkt die Hochschul-, Wissenschafts- sowie mittelfristig auch
